id_imagem,imagem,data_hora_hora_processamento,data_hora_registro,time_difference_seconds,num_lesoes
1644776,20250703-3330-1-0110-0001.jpg,2025-07-03 17:24:29,2025-07-03 17:16:46.968146,462.031854,0
1644775,20250703-3329-1-0110-0001.jpg,2025-07-03 17:24:18,2025-07-03 17:16:38.961970,459.03803,0
1644774,20250703-3328-1-0110-0001.jpg,2025-07-03 17:24:08,2025-07-03 17:16:31.532955,456.467045,2
1644773,20250703-3327-1-0110-0001.jpg,2025-07-03 17:23:56,2025-07-03 17:16:25.549676,450.450324,5
1644772,20250703-3326-1-0110-0001.jpg,2025-07-03 17:23:45,2025-07-03 17:16:19.752715,445.247285,1
1644771,20250703-3325-1-0110-0001.jpg,2025-07-03 17:23:34,2025-07-03 17:16:12.289209,441.710791,1
1644770,20250703-3324-1-0110-0001.jpg,2025-07-03 17:23:23,2025-07-03 17:16:05.120271,437.879729,5
1644769,20250703-3323-1-0110-0001.jpg,2025-07-03 17:23:11,2025-07-03 17:15:57.154021,433.845979,5
1644768,20250703-3322-1-0110-0001.jpg,2025-07-03 17:23:00,2025-07-03 17:15:49.475769,430.524231,2
1644767,20250703-3321-1-0110-0001.jpg,2025-07-03 17:22:49,2025-07-03 17:15:41.915692,427.084308,2
1644766,20250703-3320-1-0110-0001.jpg,2025-07-03 17:22:39,2025-07-03 17:15:34.671710,424.32829,1
1644765,20250703-3319-1-0110-0001.jpg,2025-07-03 17:22:28,2025-07-03 17:15:27.131334,420.868666,2
1644764,20250703-3318-1-0110-0001.jpg,2025-07-03 17:22:17,2025-07-03 17:15:19.309197,417.690803,1
1644763,20250703-3317-1-0110-0001.jpg,2025-07-03 17:22:07,2025-07-03 17:15:11.882511,415.117489,1
1644762,20250703-3316-1-0110-0001.jpg,2025-07-03 17:21:56,2025-07-03 17:15:04.170250,411.82975,1
1644761,20250703-3315-1-0110-0001.jpg,2025-07-03 17:21:46,2025-07-03 17:14:57.420591,408.579409,3
1644760,20250703-3314-1-0110-0001.jpg,2025-07-03 17:21:35,2025-07-03 17:14:49.673357,405.326643,1
1644759,20250703-3313-1-0110-0001.jpg,2025-07-03 17:21:24,2025-07-03 17:14:43.593152,400.406848,2
1644758,20250703-3312-1-0110-0001.jpg,2025-07-03 17:21:13,2025-07-03 17:14:37.684283,395.315717,3
1644757,20250703-3311-1-0110-0001.jpg,2025-07-03 17:21:01,2025-07-03 17:14:30.810691,390.189309,1
1644756,20250703-3310-1-0110-0001.jpg,2025-07-03 17:20:50,2025-07-03 17:14:23.190236,386.809764,0
1644755,20250703-3309-1-0110-0001.jpg,2025-07-03 17:20:40,2025-07-03 17:14:15.277619,384.722381,6
1644754,20250703-3308-1-0110-0001.jpg,2025-07-03 17:20:28,2025-07-03 17:14:07.745881,380.254119,0
1644753,20250703-3307-1-0110-0001.jpg,2025-07-03 17:20:17,2025-07-03 17:14:00.336933,376.663067,3
1644752,20250703-3306-1-0110-0001.jpg,2025-07-03 17:20:05,2025-07-03 17:13:52.760287,372.239713,0
1644751,20250703-3305-1-0110-0001.jpg,2025-07-03 17:19:55,2025-07-03 17:13:45.195997,369.804003,0
1644750,20250703-3304-1-0110-0001.jpg,2025-07-03 17:19:45,2025-07-03 17:13:37.667551,367.332449,2
1644749,20250703-3303-1-0110-0001.jpg,2025-07-03 17:19:34,2025-07-03 17:13:30.156376,363.843624,5
1644747,20250703-3301-1-0110-0001.jpg,2025-07-03 17:18:48,2025-07-03 17:13:14.940387,333.059613,2
1644746,20250703-3300-1-0110-0001.jpg,2025-07-03 17:18:37,2025-07-03 17:13:07.640732,329.359268,1
1644745,20250703-3299-1-0110-0001.jpg,2025-07-03 17:18:26,2025-07-03 17:13:01.894193,324.105807,1
1644744,20250703-3298-1-0110-0001.jpg,2025-07-03 17:18:15,2025-07-03 17:12:55.893323,319.106677,1
1644743,20250703-3297-1-0110-0001.jpg,2025-07-03 17:18:03,2025-07-03 17:12:48.839195,314.160805,1
1644742,20250703-3296-1-0110-0001.jpg,2025-07-03 17:17:52,2025-07-03 17:12:41.082844,310.917156,0
1644741,20250703-3295-1-0110-0001.jpg,2025-07-03 17:17:41,2025-07-03 17:12:33.716697,307.283303,2
1644740,20250703-3294-1-0110-0001.jpg,2025-07-03 17:17:29,2025-07-03 17:12:25.897261,303.102739,1
1644739,20250703-3293-1-0110-0001.jpg,2025-07-03 17:17:17,2025-07-03 17:12:18.625041,298.374959,1
