date,total_entries,total_records,percentage,avg_time_difference,max_time_difference
2025-06-17,4011,4012,99.98,25.47,38.06
2025-06-18,3757,3758,99.97,25.56,39.04
2025-06-19,1012,2737,36.97,15.49,27.88
2025-06-20,1810,2637,68.64,23.78,38.19
2025-06-23,793,4024,19.71,13.28,35.82
2025-06-24,4002,4002,100.0,25.41,42.3
2025-06-25,3989,4002,99.68,26.05,220.6
2025-06-26,3381,4014,84.23,24.82,39.46
2025-06-27,3834,3838,99.9,25.49,39.15
2025-06-30,4009,4009,100.0,26.22,39.16
2025-07-01,3832,3832,100.0,26.65,40.4
2025-07-02,3324,3325,99.97,25.7,39.6
2025-07-03,2935,3329,88.16,53.87,462.03
2025-07-04,1488,1792,83.04,229.71,530.29
