date,total_entries,total_records,percentage,avg_time_difference,max_time_difference
2025-06-16,15,1756,0.85,10.4,13.91
2025-06-17,17,1957,0.87,10.38,14.81
2025-06-18,22,2012,1.09,10.39,13.73
2025-06-19,38,1920,1.98,10.33,14.86
2025-06-20,31,1974,1.57,10.27,13.6
2025-06-21,17,1198,1.42,10.38,13.93
2025-06-23,34,1920,1.77,10.25,14.16
2025-06-24,37,1873,1.98,10.29,14.73
2025-06-25,38,1677,2.27,10.22,13.7
2025-06-26,41,1635,2.51,10.19,12.94
2025-06-27,67,2360,2.84,10.23,14.15
2025-06-28,0,19,0.0,0,0
2025-06-30,64,1821,3.51,10.24,14.08
2025-07-01,75,1897,3.95,10.24,14.16
2025-07-02,67,1707,3.93,10.25,14.28
2025-07-03,0,1632,0.0,0,0
2025-07-04,0,366,0.0,0,0
