id_imagem,imagem,data_hora_hora_processamento,data_hora_registro,time_difference_seconds,num_lesoes
3516012,20250630-1403-1-0110-0791.jpg,2025-06-30 23:59:46,2025-06-30 23:59:33.283281,12.716719,2
3516011,20250630-1402-2-0110-0791.jpg,2025-06-30 23:59:33,2025-06-30 23:59:19.871281,13.128719,4
3516010,20250630-1402-1-0110-0791.jpg,2025-06-30 23:59:17,2025-06-30 23:59:06.872640,10.12736,0
3516009,20250630-1401-2-0110-0791.jpg,2025-06-30 23:59:08,2025-06-30 23:58:53.666473,14.333527,5
3516008,20250630-1401-1-0110-0791.jpg,2025-06-30 23:58:55,2025-06-30 23:58:40.063975,14.936025,4
3516007,20250630-1400-2-0110-0791.jpg,2025-06-30 23:58:40,2025-06-30 23:58:27.056418,12.943582,0
3516006,20250630-1400-1-0110-0791.jpg,2025-06-30 23:58:27,2025-06-30 23:58:13.697064,13.302936,3
3516005,20250630-1399-2-0110-0791.jpg,2025-06-30 23:58:15,2025-06-30 23:58:00.782312,14.217688,4
3516004,20250630-1399-1-0110-0791.jpg,2025-06-30 23:57:26,2025-06-30 23:57:13.090465,12.909535,2
3516002,20250630-1398-1-0110-0791.jpg,2025-06-30 23:57:01,2025-06-30 23:56:46.640321,14.359679,2
3516001,20250630-1397-2-0110-0791.jpg,2025-06-30 23:56:47,2025-06-30 23:56:33.877170,13.12283,2
3516000,20250630-1397-1-0110-0791.jpg,2025-06-30 23:56:31,2025-06-30 23:56:20.216160,10.78384,0
3515999,20250630-1396-2-0110-0791.jpg,2025-06-30 23:56:22,2025-06-30 23:56:06.958378,15.041622,2
3515998,20250630-1396-1-0110-0791.jpg,2025-06-30 23:56:09,2025-06-30 23:55:53.962673,15.037327,4
3515997,20250630-1395-2-0110-0791.jpg,2025-06-30 23:55:11,2025-06-30 23:54:55.703490,15.29651,5
3515996,20250630-1395-1-0110-0791.jpg,2025-06-30 23:54:56,2025-06-30 23:54:42.072008,13.927992,1
3515995,20250630-1394-2-0110-0791.jpg,2025-06-30 23:54:44,2025-06-30 23:54:29.387581,14.612419,2
3515994,20250630-1394-1-0110-0791.jpg,2025-06-30 23:54:30,2025-06-30 23:54:15.644981,14.355019,1
3515993,20250630-1393-2-0110-0791.jpg,2025-06-30 23:54:16,2025-06-30 23:54:02.943963,13.056037,1
3515992,20250630-1393-1-0110-0791.jpg,2025-06-30 23:53:49,2025-06-30 23:53:35.917181,13.082819,1
3515991,20250630-1392-2-0110-0791.jpg,2025-06-30 23:53:36,2025-06-30 23:53:22.344023,13.655977,1
3515990,20250630-1392-1-0110-0791.jpg,2025-06-30 23:53:22,2025-06-30 23:53:09.433601,12.566399,1
