date,total_entries,total_records,percentage,avg_time_difference,max_time_difference
2025-06-16,2539,2637,96.28,12.92,18.95
2025-06-17,2857,2967,96.29,13.08,19.0
2025-06-18,3262,3381,96.48,13.08,140.83
2025-06-19,1545,1600,96.56,13.13,18.9
2025-06-20,2561,2630,97.38,13.16,19.12
2025-06-21,1679,1737,96.66,13.12,19.2
2025-06-23,2468,2536,97.32,13.14,19.9
2025-06-24,2975,3068,96.97,13.1,155.94
2025-06-25,2614,2714,96.32,13.07,21.38
2025-06-26,2939,3019,97.35,13.09,19.26
2025-06-27,2858,2927,97.64,13.2,165.8
2025-06-28,2019,2052,98.39,13.37,19.07
2025-06-30,2741,2805,97.72,13.46,45.07
2025-07-01,2691,2748,97.93,13.27,162.2
2025-07-02,3049,3122,97.66,13.36,161.87
2025-07-03,315,3189,9.88,35.11,425.61
2025-07-04,55,1353,4.07,14.5,178.19
