date,total_entries,total_records,percentage,avg_time_difference,max_time_difference
2024-10-30,0,2451,0.0,0,0
2024-10-31,1,2435,0.04,68.88,68.88
2024-11-01,1,2073,0.05,69.65,69.65
2024-11-04,0,1906,0.0,0,0
2024-11-05,51,6767,0.75,10.37,11.43
2024-11-06,0,3022,0.0,0,0
2024-11-07,1,2927,0.03,67.14,67.14
2024-11-08,1,2227,0.04,69.79,69.79
2024-11-09,0,970,0.0,0,0
2024-11-11,1,2759,0.04,27.25,27.25
2024-11-12,0,3327,0.0,0,0
2024-11-13,1,3283,0.03,50.82,50.82
2024-11-14,2,3243,0.06,66.28,69.9
2024-11-15,1,3257,0.03,71.48,71.48
2024-11-16,1,1552,0.06,15.97,15.97
2024-11-18,0,2653,0.0,0,0
2024-11-19,1,3064,0.03,69.24,69.24
2024-11-20,5,2932,0.17,22.81,70.6
2024-11-21,1,3027,0.03,78.82,78.82
2024-11-22,0,3073,0.0,0,0
2024-11-23,1,2058,0.05,78.97,78.97
2024-11-25,7,2028,0.35,11.23,12.63
2024-11-26,2,3019,0.07,76.31,80.15
2024-11-27,2,2699,0.07,79.96,82.6
2024-11-28,3,2677,0.11,33.57,79.82
2024-11-29,1,2914,0.03,80.85,80.85
2024-11-30,1,1659,0.06,86.62,86.62
2024-12-02,2,2376,0.08,10.22,10.32
2024-12-03,0,2597,0.0,0,0
2024-12-04,1,2627,0.04,76.97,76.97
2024-12-05,845,2955,28.6,10.59,81.63
2024-12-06,965,2895,33.33,10.51,80.16
2024-12-07,534,1710,31.23,10.45,11.46
2024-12-09,782,2551,30.65,10.44,14.54
2024-12-10,914,2731,33.47,10.56,79.1
2024-12-11,995,2932,33.94,10.54,80.46
2024-12-12,1071,2972,36.04,10.49,11.9
2024-12-13,1221,3168,38.54,10.54,83.06
2024-12-14,725,1942,37.33,10.58,81.59
2024-12-16,994,2358,42.15,10.51,13.53
2024-12-17,1332,3203,41.59,10.57,79.54
2024-12-18,1362,3161,43.09,10.58,81.49
2024-12-19,1312,3104,42.27,10.58,83.37
2024-12-20,1300,2981,43.61,10.6,83.41
2024-12-21,925,2153,42.96,10.59,81.87
2024-12-23,1210,2802,43.18,10.52,16.3
2024-12-24,152,319,47.65,10.56,11.62
2024-12-27,1150,2508,45.85,10.63,19.22
2024-12-28,745,1787,41.69,10.67,83.21
2024-12-30,1280,2648,48.34,10.59,16.31
2024-12-31,189,414,45.65,10.98,84.02
2025-01-03,5658,6952,81.39,13310.23,18854.55
2025-01-04,889,1920,46.3,10.66,87.46
2025-01-06,1493,2767,53.96,10.74,23.37
2025-01-07,1748,3148,55.53,10.76,80.27
2025-01-08,1539,3219,47.81,10.65,16.56
2025-01-09,701,3178,22.06,10.8,87.3
2025-01-10,75,3244,2.31,12.38,85.64
2025-01-11,8,1397,0.57,11.53,16.4
2025-01-13,40,2726,1.47,12.36,19.14
2025-01-14,56,2854,1.96,11.42,16.62
2025-01-15,35,3132,1.12,13.59,106.08
2025-01-16,152,3105,4.9,12.19,22.42
2025-01-17,21,3119,0.67,14.32,92.14
2025-01-18,10,1958,0.51,10.86,15.06
2025-01-20,59,2433,2.42,10.87,15.36
2025-01-21,61,2914,2.09,11.21,16.17
2025-01-22,87,3189,2.73,12.5,88.75
2025-01-23,98,3310,2.96,10.38,16.15
2025-01-24,94,3113,3.02,10.48,16.97
2025-01-25,56,1864,3.0,10.33,16.37
2025-01-27,127,2688,4.72,10.8,16.16
2025-01-28,101,3180,3.18,11.37,90.79
2025-01-29,106,3267,3.24,10.46,15.74
2025-01-30,100,3006,3.33,10.54,15.5
2025-01-31,106,3312,3.2,11.09,88.88
2025-02-01,45,1730,2.6,10.45,16.36
2025-02-03,103,2461,4.19,10.46,16.12
2025-02-04,98,3082,3.18,10.4,15.28
2025-02-05,1301,3183,40.87,10.99,60.11
2025-02-06,2460,3261,75.44,11.02,112.9
2025-02-07,2415,3193,75.63,10.97,99.44
2025-02-08,1501,1963,76.46,11.04,93.82
2025-02-10,1115,1421,78.47,10.97,15.88
2025-02-11,1098,1419,77.38,10.96,19.65
2025-02-12,1745,2190,79.68,11.12,93.89
2025-02-13,1421,2844,49.96,10.99,96.44
2025-02-14,2265,3384,66.93,11.02,97.73
2025-02-15,1383,1685,82.08,11.01,16.71
2025-02-17,1512,2409,62.76,11.01,16.92
2025-02-18,2011,3079,65.31,11.18,26.67
2025-02-19,2033,3134,64.87,11.76,95.12
2025-02-20,2769,3332,83.1,11.37,97.66
2025-02-21,2803,3300,84.94,11.09,19.21
2025-02-22,1446,1690,85.56,11.15,98.31
2025-02-24,2585,2767,93.42,11.3,15.5
2025-02-25,2973,3184,93.37,11.34,101.89
2025-02-26,2899,3094,93.7,11.35,16.38
2025-02-27,3006,3172,94.77,11.38,104.83
2025-02-28,2856,3012,94.82,11.41,17.11
2025-03-01,1881,1985,94.76,11.48,108.84
2025-03-03,2291,2419,94.71,11.48,17.71
2025-03-04,415,449,92.43,11.39,13.34
2025-03-05,2763,2926,94.43,11.51,31.85
2025-03-06,2738,2953,92.72,11.46,104.73
2025-03-07,2770,3065,90.38,11.45,107.12
2025-03-08,1860,2014,92.35,11.4,105.87
2025-03-10,2535,2660,95.3,11.42,15.8
2025-03-11,3043,3197,95.18,11.47,111.26
2025-03-12,2782,2952,94.24,11.49,119.91
2025-03-13,2790,3025,92.23,11.5,111.77
2025-03-14,2967,3087,96.11,11.58,109.77
2025-03-15,1837,1907,96.33,11.59,106.32
2025-03-17,2194,2596,84.51,11.09,17.52
2025-03-18,1952,2238,87.22,11.15,17.06
2025-03-19,2496,2752,90.7,11.36,96.51
2025-03-20,2971,3107,95.62,11.5,102.66
2025-03-21,2804,2925,95.86,11.59,99.8
2025-03-22,2124,2225,95.46,11.56,100.38
2025-03-24,2620,2700,97.04,11.6,16.42
2025-03-25,2545,2619,97.17,11.72,26.0
2025-03-26,2374,2451,96.86,11.58,17.22
2025-03-27,2875,3001,95.8,11.74,103.83
2025-03-28,2511,2618,95.91,11.69,105.43
2025-03-29,1455,1494,97.39,11.68,107.72
2025-03-31,2670,2706,98.67,11.73,16.15
2025-04-01,2680,2714,98.75,11.75,17.02
2025-04-02,1828,2119,86.27,11.6,17.52
2025-04-03,3120,3186,97.93,11.69,16.53
2025-04-04,2798,2858,97.9,11.71,17.25
2025-04-05,1182,1207,97.93,11.78,111.44
